,Titulo,Descripcion,Area,Precio,Cuartos,Baños,Garajes
0,"Casa en Arriendo, SAN JOAQUIN Medellín.","Arriendo casa segundo piso en San Joaquín con 85m2 aprox,altura normal,piso en baldosa,energía normal,2 baños,cocineta sencilla,espacio para 4 oficinas,sala comedor,balcón.",85.0 m2,$1.700.000,3,2,0
1,"Casa en Arriendo, LA AGUACATALA Medellín.","COD: 14899

Preciosa casa comercial en alquiler, con un área de 326 metros aproximadamente por confirmar sobre escrituras, sector La Aguacatala en El Poblado, 1° piso, estrato 5 comercial. Inmueble de dos niveles con excelente distribución de sus espacios y maravillosa iluminación natural, donde encontramos amplios espacios para sala de espera y recepción, cuatro grandes oficinas individuales con archivador (closet) cada una, dos baños privados y un baño social enchapados y cabinados en acrílico; práctica cocineta, dos patios y ventanal. Piso en baldosa, pintura en excelente estado.",326.0 m2,$7.500.000,4,3,1
2,"Casa en Arriendo, EL TESORO Medellín.","COD.17178  NOTA EL PRECIO DEL INMUEBLE VARIA SEGUN LA FECHA,EL NUMERO DE PERSONAS Y EL TIEMPO A RENTAR.    Insuperable casa amoblada en arrendamiento,  con las condiciones que usted merece, cercano a vías principales, Instituciones Educativas, zona comercial y fácil acceso vehicular y peatonal,  área de 430 metros aproximadamente, sector El Poblado, 1  piso, estrato 6 en Unidad Cerrada. Encontramos en sus dos niveles construidos de 250 metros, abiertos espacios con lindos y modernos",430.0 m2,$17.000.000,3,4,0
3,"Casa en Arriendo, EL TESORO Medellín.","Casa en unidad cerrada sector las Santas con facil acceso desde la Superior e inferior. Cerca a servicios complementarios en Mall Verona y rutas de transporte publico. Piso en madera y porcelanato, dos niveles, puerta de seguridad, sala y comedor independientes, estar de tv y cocina integral abierta con meson tipo americano y salida al jardin. 3 alcobas con baño en cada una,  terraza cubierta. Parqueaderos paralelos cubiertos. Unidad con parque para niños, salon social, vigilancia 24 horas, citofonia y circuito cerrado de tv. 
Ver más inmuebles similares en  www prointegral com  ",300.0 m2,$5.700.000,3,4,2
4,"Casa en Venta Y Arriendo, EL TESORO Medellín.","Casa en unidad cerrada  en el sector del Tesoro muy cerca al colegio Marymount y los Cedros, acceso desde la Superior y salida hacia servicios complementarios del mall del este. Entorno muy tranquilo y de poco flujo vehicular. Piso en madera, tres niveles, puerta de seguridad, sala y comedor independientes, biblioteca, cocina integral con vista hacia el jardin. 3 alcobas con baño en cada una, alcoba de servicio, terraza cubierta, balcon y parqueaderos paralelos cubiertos. Unidad con parque infantil y mucha zona verde, vigilancia 24horas, citofonia y circuito cerrado de tv.
Ver más inmuebles similares en  www prointegral com  ",320.0 m2,$5.200.000,3,4,2
5,"Casa en Arriendo, SUCRE Medellín.","Apartamento de 130 m2, 3 alcobas, sala comedor, cocina integral, 3 closet, 1 baños, piso en ceramica,  excelentes acabados e iluminación.
Ubicado en excelente sector donde encontrara facilidades de transporte público.3267
Para mayor información visite nuestra página web: www.gestionamospropiedades.co

",130.0 m2,$1.500.000,3,1,0
6,"Casa en Arriendo, PATIO BONITO Medellín.","Excelente casa dos niveles en sector exclusivo del Poblado, espacios amplios, cómodas vías de acceso, ideal para oficinas administrativas o institutos.",530.0 m2,$14.600.000,1,					Garajes:2,2
7,"Casa en Arriendo, SANTA MARIA DE LOS ANGELES Medellín.","CASA COMERCIAL EN SECTOR AGUACATALA, CERCA ESTACION DEL METRO, FACIL ACCESO, IDEAL PARA OFICINAS, SPA, CENTRO ESTETICO, BUENOS ESPACIOS, AREA DE SOLAR ABIERTO, GARAJE CON DOS PARQUEADEROS.",250.0 m2,$9.000.000,3,3,2
8,"Casa en Arriendo, LA FLORIDA Medellín.","Excelente casa de 3 niveles en unidad cerrada sector los parra, fácil acceso a vías principales y centros comerciales, piso en mármol, hall de acceso, sala y comedor independientes, biblioteca,  estudio. 4 alcobas con baño en cada una, cocina integra abiertal, balcón con vista al exterior, amplia terraza de aprox 30mts con chimenea y parqueaderos cubiertos. Pscina climatizada, gimnasio, salón comunal, parque infantil, placa polideportiva y zonas verdes, vigilancia las 24 horas, circuito cerrado ",290.0 m2,$5.100.000,4,5,4
9,"Casa en Arriendo, BOSTON Medellín.","Casa disponible para arriendo en Medellín, sector Boston. Cuenta con seis habitaciones cada una con closet, baño y cocineta, cuenta también con dos patios y garaje. El inmueble se encuentra ubicado en excelente sector muy cercano al teatro Pablo Tobón Uribe y la avenida La Playa. El inmueble es ideal para EPS, oficinas, consultorios, renta de aparta estudios, entre otros locales comerciales. Para mayor información comunicarse con Longitud Inmobiliaria",300.0 m2,$6.000.000,1,					Garajes:1,1
10,"Casa en Arriendo, SANTA MARIA DE LOS ANGELES Medellín.","CASA COMERCIAL EN SECTOR MIXTO COMERCIAL, CERCA ESTACION METRO, FACIL ACCESO, AREAS VERDES, AMPLIOS ESPACIOS, GARAJE 4 VEHICULOS, PARQUEADERO COMUNAL ADICIONAL, IDEAL OFICINAS, CENTROS ESTETICOS, CLINICAS DE BELLEZA, ETC.",500.0 m2,$18.000.000,1,					Garajes:4,4
11,"Casa en Arriendo, SANTA MONICA Medellín.","COD: 14047

Confortable casa bifamiliar en alquiler, con un área de 78 metros aproximadamente por confirmar sobre escrituras, en Santa Mónica II, 1° piso, estrato 4. Nos ofrecen sus espacios, zona social de sala comedor, tres alcobas, un baño privado y un baño social enchapados y cabinados; funcional cocina integral con anaqueles inferiores y superiores, red de gas, patio, zona de ropas. Piso en cerámica, pintura en excelente estado.",78.0 m2,$1.400.000,3,2,0
12,"Casa en Arriendo, LOS COLORES Medellín.","Arriendo casa local en segundo piso con 270m2,piso en baldosa,3 baños,cocineta,7 espacios para oficina,tiene garaje independiente.",270.0 m2,$4.000.000,1,,0
13,"Casa en Arriendo, ESTADIO Medellín.",CASACOM en alquiler en ESTADIO En segundo piso y de dos plantasubicada cerca al supermercado La Vaquita  Casino Broadway Iglesia de San Pedro y San Pablo  glorieta de la 80 por colombia cuenta con espacios generosos que invitan a la privacidad y diversidad acabados sencillos buena distribucion zona de desarrollo mixto con cajeros electronicos restaurantes depositos droguerias papelerias fruver tiendas de facil acceso a transporte publico ambiente seguro. con cercania a Casino Broadway suermerca,240.0 m2,$6.000.000,4,2,0
14,"Casa en Arriendo, SANTA MARIA DE LOS ANGELES Medellín.","EXCELENTE PROPIEDAD PARA COMERCIAL, IDEAL CONSULTORIOS, CLINICA DE BELLEZA, SPA, OFICINAS, EN SECTOR MIXTO COMERCIAL, CERCA ESTACION DEL METRO, SOBRE VIA PRINCIPAL, BUENA ILUMINACION NATURAL, AMPLIOS ESPACIOS, GARAJE DOBLE.",250.0 m2,$9.000.000,3,3,2
15,"Casa en Arriendo, COLON Medellín.","Excelente casa para actividad comercial, amplia y cerca a servicios complementarios, con siete espacios, seis baños, cocina integral con meson en granito, patio, cuatro parqueaderos cubiertos y un cuarto util.",595.0 m2,$12.500.000,5,5,3
16,"Casa en Venta Y Arriendo, EL POBLADO Medellín.","Casa de dos niveles en unidad cerrada. Cuenta con piso en marmol y madera, 4 alcobas con baño en cada una, , estudio, estar de tv, cocina integral, dos balcones y parqueaderos independientes cubiertos. Unidad con salon social, parque infantil, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv. ",284.0 m2,$5.200.000,4,5,2
17,"Casa en Venta Y Arriendo, EL POBLADO Medellín.","Casa para uso comercial en venta o arriendo. Cuenta con piso en porcelanato y madera, 4 espacios correspondientes a alcobas. Tiene baño y vestier en la principal. Hall de acceso, espacios independientes para la sala y comedor, estudio, estar de tv, cocina integral, balcon y parqueaderos independientes. Tiene transformador con luz industrial, en el primer piso cuenta con una bodega de 3 areas muy espaciosas. ",450.0 m2,$16.000.000,4,3,3
18,"Casa en Arriendo, BELEN Medellín.","Casa con buenos espacios y acabados, muy iluminada y ventilada. Cuenta con buenas rutas de transporte y vías de acceso.
Gracias por su interés en uno de nuestros inmuebles, RASKCIELOS Tiene para usted más ofertas inmobiliarias, contáctenos a través de nuestro PBX que aparece al inicio de nuestra publicación, uno de nuestros asesores le atenderá y acompañará en su búsqueda.

",350.0 m2,$3.700.000,5,4,1
19,"Casa en Arriendo, MANILA Medellín.","COD.9933 casa unifamiliar en arrendamiento, con un área de 280 metros aproximadamente por confirmar sobre escrituras, en Simón Bolívar, 1° piso, estrato 4. Sus dos niveles amplios niveles nos ofrecen zona social de sala comedor, cinco alcobas con closet cada una, cuatro baños sociales enchapados, con cortina; práctica cocina sencilla con anaqueles inferiores y superiores, red de gas, patio, zona de ropas y balcón. Pisos en cerámica y baldosa, pintura en excelente estado.

Garaje.",280.0 m2,$3.200.000,5,4,1
20,"Casa en Arriendo, PATIO BONITO Medellín.","Casa en unidad cerrada sector los Naranjos con facil salida a servicios complementarios en la visitacion y el tesoro, entorno muy tranquilo y natural. Rutas de transporte publico. Piso en marmol y madera, dos niveles, puerta de seguridad, sala y comedor independientes, estar de tv y cocina integral. 4 alcobas con baño en la principal, alcoba de servicio, terraza muy amplia y con salida al jardin. Parqueaderos independientes cubiertos. Unidad con parque infantil, zonas verdes, vigilancia 24horas, citofonia y circuito cerrado de tv",240.0 m2,$4.900.000,4,4,2
21,"Casa en Venta Y Arriendo, SAN LUCAS Medellín.","Casa en unidad cerrada en el sector de los Balsos cerca a servicios complementarios del CC El Tesoro, de facil acceso desde la Superior, calle tranquila de poco flujo vehicular y transito de solo residentes. Piso en marmol y madera laminada, puerta de seguridad, 3 alcobas con baño en cada una, sala comedor, biblioteca, cocina integral y parqueadero independiente. Unidad con piscina, gym, sauna, parque infantil, placa polideportiva, zonas verdes, vigilancia 24 horas, citofonia y circuito cerrado de tv. Ambiente familiar, facil acceso, rutas de transporte.",340.0 m2,$5.700.000,3,4,1
22,"Casa en Arriendo, LA LINDE Medellín.","Casa comercial en arrendamiento en el sector de Lalinde el Poblado, cuenta con tres niveles. En el primer nivel se encuentran ocho espacios para salas de reuniones y oficinas, además patio en grama y los parqueaderos descubiertos. Segundo piso cuenta con cuatro cuatro habitaciones o cuartos para oficinas y con acceso independiente otro espacio en tercer nivel habilitados para oficinas. pisos en cerámica y madera. En el primer nivel cocineta en oficinas y en el segundo nivel cocina semaintegra",620.0 m2,$24.000.000,1,3,0
23,"Casa en Arriendo, CAMPO VALDES No.1 Medellín.","Casa amplia en manrique central, tiene tres alcobas cada una con closet, cocina integral con red de gas, solar, sala, comedor, patio, zona de ropas y dos baños. A dos cuadras de la estación del metro plus Gardel.",90.0 m2,$1.000.000,3,2,0
24,"Casa en Arriendo, SIMON BOLIVAR Medellín.","COD.16815    Estupenda casa bifamiliar en arriendo, zona residencial y comercial con cercanía al Mall y Éxito Laureles, Parroquia La Chinca, Escuela Francisco Antonio Zea, glorieta Don Quijote, área de 280 metros aproximadamente, sector Simón Bolívar, estrato 5. Inmueble con excelente distribución en sus amplios dos niveles, donde encontramos zona social de sala comedor, biblioteca, sala de estar, cinco alcobas con closet cada una, tres baños privados, uno con jacuzzi, otro con",280.0 m2,$7.000.000,5,4,1
25,"Casa en Arriendo, ALEJANDRIA Medellín.","Casa en unidad cerrada sector Los Gonzales, facil acceso desde la Av el Poblado.Cercano a servicios complementarios de Santa Fe y Milla de Oro. Cuenta con piso en ceramica, dos niveles, puerta de seguridad, sala comedor, biblioteca. 4 alcobas con baño en la principal, cocina integral abierta, terraza semi cubierta y jardin; parqueaderos paralelos cubiertos. Piscina, gym, parque infantil, placa polideportiva, zonas verdes, vigilancia 24 horas y circuito cerrado de tv.  ",190.0 m2,$3.400.000,4,4,2
